DATETIME,open,high,low,QUANTITY,1,2,3,4,5,6,7,8,9,10,11,12,RATE,IBS
2022-02-24 17:00:00,161.64,162.18,161.31,-7819,-7819.0,-11219.0,-29029.0,-36396.0,-34311.0,-39489.0,-61780.0,-92729.0,-105999.0,-93901.0,-99133.0,-93181.0,162.10000000000002,0.908045977011513
2022-02-24 17:05:00,162.04000000000002,162.35,161.84,-10880,-10880.0,-18699.0,-22099.0,-39909.0,-47276.0,-45191.0,-50369.0,-72660.0,-103609.0,-116879.0,-104781.0,-110013.0,162.32,0.9411764705882321
2022-02-24 17:10:00,162.35000000000002,162.42000000000002,162.17,-14689,-14689.0,-25569.0,-33388.0,-36788.0,-54598.0,-61965.0,-59880.0,-65058.0,-87349.0,-118298.0,-131568.0,-119470.0,162.3,0.5200000000000364
2022-02-24 17:15:00,162.28,162.54000000000002,162.2,-6718,-6718.0,-21407.0,-32287.0,-40106.0,-43506.0,-61316.0,-68683.0,-66598.0,-71776.0,-94067.0,-125016.0,-138286.0,162.51999999999998,0.9411764705881271
2022-02-24 17:20:00,162.57999999999998,162.64,161.93,9952,9952.0,3234.0,-11455.0,-22335.0,-30154.0,-33554.0,-51364.0,-58731.0,-56646.0,-61824.0,-84115.0,-115064.0,162.07999999999998,0.2112676056337769
2022-02-25 09:00:00,164.36,165.57999999999998,164.15,577,577.0,10529.0,3811.0,-10878.0,-21758.0,-29577.0,-32977.0,-50787.0,-58154.0,-56069.0,-61247.0,-83538.0,165.44,0.9020979020979102
2022-02-25 09:05:00,165.34,165.44,164.61,-6445,-6445.0,-5868.0,4084.0,-2634.0,-17323.0,-28203.0,-36022.0,-39422.0,-57232.0,-64599.0,-62514.0,-67692.0,164.66,0.0602409638554023
2022-02-25 09:10:00,164.6,164.63,162.85000000000002,-10053,-10053.0,-16498.0,-15921.0,-5969.0,-12687.0,-27376.0,-38256.0,-46075.0,-49475.0,-67285.0,-74652.0,-72567.0,163.37,0.29213483146066843
2022-02-25 09:15:00,163.38,163.68,162.94,3656,3656.0,-6397.0,-12842.0,-12265.0,-2313.0,-9031.0,-23720.0,-34600.0,-42419.0,-45819.0,-63629.0,-70996.0,163.25,0.41891891891891686
2022-02-25 09:20:00,163.35000000000002,163.62,163.06,29839,29839.0,33495.0,23442.0,16997.0,17574.0,27526.0,20808.0,6119.0,-4761.0,-12580.0,-15980.0,-33790.0,163.37,0.5535714285714304
